pair_key,n_models,feature_a,feature_b,mean_support_n,max_support_n,mean_pair_precision,max_pair_precision,mean_pair_recall,mean_pair_fp_rate,mean_pair_precision_lift,max_pair_precision_lift,dominant_recommendation,representative_rule_desc,is_interaction_candidate
59 || 65,5,59,65,2.8,4,0.3833333333333333,0.5,0.012048192771084338,0.0015384615384615385,5.786947791164659,7.548192771084337,review,59(high) AND 65(high),0
103 || 64,8,103,64,9.5,25,0.3765625,0.5,0.03162650602409638,0.005876068376068376,5.684732680722892,7.548192771084337,review,103(high) AND 64(high),0
103 || 63,2,103,63,7.5,10,0.35,0.4,0.030120481927710843,0.004273504273504274,5.283734939759036,6.038554216867469,review,103(high) AND 63(high),0
165 || 64,1,165,64,3.0,3,0.3333333333333333,0.3333333333333333,0.012048192771084338,0.0017094017094017094,5.032128514056224,5.032128514056224,review,165(high) AND 64(high),0
21 || 28,1,21,28,3.0,3,0.3333333333333333,0.3333333333333333,0.012048192771084338,0.0017094017094017094,5.032128514056224,5.032128514056224,review,21(high) AND 28(low),0
28 || 38,1,28,38,6.0,6,0.3333333333333333,0.3333333333333333,0.024096385542168676,0.003418803418803419,5.032128514056224,5.032128514056224,review,28(low) AND 38(high),0
38 || 79,1,38,79,3.0,3,0.3333333333333333,0.3333333333333333,0.012048192771084338,0.0017094017094017094,5.032128514056224,5.032128514056224,review,38(high) AND 79(high),0
488 || 551,1,488,551,6.0,6,0.3333333333333333,0.3333333333333333,0.024096385542168676,0.003418803418803419,5.032128514056224,5.032128514056224,review,488(low) AND 551(high),0
59 || 63,2,59,63,3.0,3,0.3333333333333333,0.3333333333333333,0.012048192771084338,0.0017094017094017094,5.032128514056224,5.032128514056224,review,59(high) AND 63(high),0
21 || 64,3,21,64,3.3333333333333335,4,0.3055555555555555,0.3333333333333333,0.01204819277108434,0.001994301994301994,4.612784471218206,5.032128514056224,review,21(high) AND 64(high),0
488 || 64,1,488,64,7.0,7,0.2857142857142857,0.2857142857142857,0.024096385542168676,0.004273504273504274,4.313253012048192,4.313253012048192,review,488(low) AND 64(high),0
103 || 59,6,103,59,8.0,23,0.27065217391304347,0.5,0.020080321285140562,0.005413105413105413,4.085869565217391,7.548192771084337,review,103(high) AND 59(high),0
38 || 63,1,38,63,8.0,8,0.25,0.25,0.024096385542168676,0.005128205128205128,3.7740963855421685,3.7740963855421685,review,38(high) AND 63(high),0
38 || 70,1,38,70,4.0,4,0.25,0.25,0.012048192771084338,0.002564102564102564,3.7740963855421685,3.7740963855421685,review,38(high) AND 70(low),0
59 || NA_72,2,59,NA_72,8.0,8,0.25,0.25,0.024096385542168676,0.005128205128205128,3.7740963855421685,3.7740963855421685,review,59(high) AND NA_72(low),0
64 || 95,1,64,95,4.0,4,0.25,0.25,0.012048192771084338,0.002564102564102564,3.7740963855421685,3.7740963855421685,review,64(high) AND 95(high),0
510 || 59,5,510,59,7.6,16,0.2208333333333333,0.25,0.01927710843373494,0.005128205128205129,3.3337851405622487,3.7740963855421685,review,510(high) AND 59(high),0
14 || 488,1,14,488,5.0,5,0.2,0.2,0.012048192771084338,0.003418803418803419,3.0192771084337346,3.0192771084337346,review,14(low) AND 488(low),0
477 || 65,1,477,65,5.0,5,0.2,0.2,0.012048192771084338,0.003418803418803419,3.0192771084337346,3.0192771084337346,review,477(high) AND 65(high),0
582 || NA_72,2,582,NA_72,6.0,6,0.16666666666666666,0.16666666666666666,0.012048192771084338,0.004273504273504274,2.516064257028112,2.516064257028112,review,582(high) AND NA_72(low),0
477 || 59,2,477,59,7.0,8,0.14583333333333331,0.16666666666666666,0.012048192771084338,0.005128205128205129,2.201556224899598,2.516064257028112,review,477(high) AND 59(high),0
103 || 95,1,103,95,8.0,8,0.125,0.125,0.012048192771084338,0.005982905982905983,1.8870481927710843,1.8870481927710843,review,103(high) AND 95(high),0
79 || NA_72,2,79,NA_72,8.0,8,0.125,0.125,0.012048192771084338,0.005982905982905983,1.8870481927710843,1.8870481927710843,review,79(high) AND NA_72(low),0
95 || NA_72,1,95,NA_72,16.0,16,0.125,0.125,0.024096385542168676,0.011965811965811967,1.8870481927710843,1.8870481927710843,review,95(high) AND NA_72(low),0
103 || 28,3,103,28,2.0,3,0.1111111111111111,0.3333333333333333,0.004016064257028113,0.0014245014245014246,1.6773761713520747,5.032128514056224,review,103(high) AND 28(low),0
348 || NA_72,1,348,NA_72,15.0,15,0.06666666666666667,0.06666666666666667,0.012048192771084338,0.011965811965811967,1.0064257028112449,1.0064257028112449,review,348(high) AND NA_72(low),0
102 || 103,1,102,103,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,102(low) AND 103(high),0
102 || 348,1,102,348,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,102(low) AND 348(high),0
102 || 377,1,102,377,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,102(low) AND 377(low),0
103 || 107,1,103,107,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,103(high) AND 107(low),0
103 || 165,1,103,165,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,103(high) AND 165(high),0
103 || 21,2,103,21,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,103(high) AND 21(high),0
103 || 38,1,103,38,5.0,5,0.0,0.0,0.0,0.004273504273504274,0.0,0.0,review,103(high) AND 38(high),0
103 || 488,1,103,488,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,103(high) AND 488(low),0
103 || 511,1,103,511,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,103(high) AND 511(high),0
103 || 70,2,103,70,3.5,4,0.0,0.0,0.0,0.0029914529914529912,0.0,0.0,review,103(high) AND 70(low),0
103 || 79,2,103,79,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,103(high) AND 79(high),0
107 || 28,1,107,28,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,107(low) AND 28(low),0
122 || 165,1,122,165,2.0,2,0.0,0.0,0.0,0.0017094017094017094,0.0,0.0,review,122(low) AND 165(high),0
122 || 21,2,122,21,2.0,2,0.0,0.0,0.0,0.0017094017094017094,0.0,0.0,review,122(low) AND 21(high),0
122 || 488,1,122,488,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,122(low) AND 488(low),0
129 || 165,1,129,165,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,129(high) AND 165(high),0
129 || 21,3,129,21,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,129(high) AND 21(high),0
14 || 551,1,14,551,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,14(low) AND 551(high),0
14 || 56,1,14,56,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,14(low) AND 56(high),0
14 || 582,2,14,582,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,14(low) AND 582(high),0
21 || 377,1,21,377,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,21(high) AND 377(low),0
28 || 437,1,28,437,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,28(low) AND 437(high),0
28 || 510,2,28,510,2.0,2,0.0,0.0,0.0,0.0017094017094017094,0.0,0.0,review,28(low) AND 510(high),0
28 || 63,2,28,63,5.0,5,0.0,0.0,0.0,0.004273504273504274,0.0,0.0,review,28(low) AND 63(high),0
28 || 64,2,28,64,4.0,4,0.0,0.0,0.0,0.003418803418803419,0.0,0.0,review,28(low) AND 64(high),0
28 || 65,2,28,65,3.0,3,0.0,0.0,0.0,0.002564102564102564,0.0,0.0,review,28(low) AND 65(high),0
28 || 70,2,28,70,3.0,3,0.0,0.0,0.0,0.002564102564102564,0.0,0.0,review,28(low) AND 70(low),0
28 || 95,1,28,95,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,28(low) AND 95(high),0
348 || 488,1,348,488,5.0,5,0.0,0.0,0.0,0.004273504273504274,0.0,0.0,review,348(high) AND 488(low),0
348 || 56,3,348,56,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,348(high) AND 56(high),0
348 || 59,2,348,59,1.5,2,0.0,0.0,0.0,0.001282051282051282,0.0,0.0,review,348(high) AND 59(high),0
348 || 63,1,348,63,2.0,2,0.0,0.0,0.0,0.0017094017094017094,0.0,0.0,review,348(high) AND 63(high),0
348 || 64,2,348,64,1.5,2,0.0,0.0,0.0,0.001282051282051282,0.0,0.0,review,348(high) AND 64(high),0
348 || 65,2,348,65,1.5,2,0.0,0.0,0.0,0.001282051282051282,0.0,0.0,review,348(high) AND 65(high),0
348 || 70,1,348,70,1.0,1,0.0,0.0,0.0,0.0008547008547008547,0.0,0.0,review,348(high) AND 70(low),0
