feature,n_models,mean_tp_missing_rate,mean_fp_missing_rate,mean_tn_missing_rate,mean_missing_tp_tn_gap,mean_missing_tp_fp_gap,overall_missing_rate,dominant_missing_signal_type,has_missing_signal
510,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
511,5,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
521,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
522,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
523,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
525,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
53,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
542,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
544,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
545,5,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
546,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
547,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
548,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
55,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
551,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
552,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
553,5,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
555,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
558,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
56,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
560,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
561,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
562,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
563,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
566,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
567,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
57,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
570,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
571,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
574,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
577,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
58,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
582,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
585,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
586,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
588,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
589,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
59,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
6,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
60,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
61,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
62,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
63,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
64,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
65,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
66,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
67,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
68,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
7,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
70,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
71,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
75,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
76,6,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
77,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
78,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
79,10,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
8,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
80,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
81,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
82,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
83,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
84,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
86,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
87,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
88,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
89,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
9,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
90,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
91,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
92,8,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
95,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
96,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
98,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
NA_109,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
NA_112,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
NA_157,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
NA_578,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
NA_72,3,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
NA_85,1,0.0,0.0,0.0,0.0,0.0,0.0,weak,0
