feature,n_models,mean_pos_mean,mean_neg_mean,mean_pos_median,mean_neg_median,mean_mean_gap,mean_median_gap,mean_p95_gap,mean_ks_stat,max_ks_stat,mean_wasserstein_distance,mean_distribution_sep_score
434,3,0.47875205354074063,-0.033566246398088834,-0.10881684470013801,-0.1279121729778524,0.5123182999388295,0.019095328277714402,5.23657723797977,0.0794459890845433,0.0794459890845433,0.5124730341181161,0.3558261337010687
76,6,-0.19051722372197397,0.02073803413014714,-0.1553787392295526,0.05123122040915099,-0.2112552578521211,-0.20660995963870357,0.054347402426701885,0.17723200494284833,0.17723200494284833,0.2237358056909595,0.3500229691049493
55,8,0.012895445055161875,-2.322829379847436e-05,-0.2329416312432057,-0.0576745531609328,0.012918673348960349,-0.17526707808227288,0.2122679056774215,0.1625476264030481,0.1625476264030481,0.26334811309178363,0.3441022020819269
133,8,0.24239293400394352,-0.017510520973872158,0.1222732321194762,-0.015157755383009,0.2599034549778157,0.1374309875024852,-0.012712671204197612,0.15659561322211923,0.15659561322211923,0.29254310872665173,0.3435223531101147
425,6,0.12091581100697901,-0.009206374604133266,-0.1577811387274507,-0.2503519318361473,0.13012218561111227,0.09257079310869659,-0.03542853963888426,0.18741633199464525,0.18741633199464525,0.17542337678097664,0.34349286283220676
22,3,-0.32756801165219507,0.02333274960280841,-0.17550440344965149,-0.11591631030131135,-0.35090076125500347,-0.05958809314834016,0.07049858907690942,0.11886520440737308,0.11886520440737308,0.37753942115822275,0.34297402167418417
288,6,0.14927894458342794,-0.011266685802115352,0.12352965273131729,-0.1230693346215914,0.1605456303855433,0.24659898735290872,0.1109695443088452,0.17305117907527545,0.17305117907527545,0.22404616047934733,0.34208896198687166
137,6,0.17975941878354607,-0.012401486405692901,0.3086368998808477,-0.08996685024094901,0.19216090518923898,0.3986037501217967,-0.2531230094372474,0.168746781999794,0.16874678199979404,0.23509813105062985,0.3397558192192176
582,10,0.2553901563035078,-0.017660026101505157,0.3183346211040398,-0.0119429441999272,0.27305018240501294,0.330277565303967,0.6395374673613485,0.1462774173617547,0.1462774173617547,0.3136199584357518,0.337451489774526
486,8,0.1653576477238005,-0.01348965394572058,0.016714152476091,-0.17390700468231565,0.17884730166952106,0.19062115715840666,-0.036658141757267115,0.17918854906806714,0.17918854906806714,0.1889039633309857,0.33569116230009327
460,8,0.1801710802898646,-0.013018770126975089,-0.146366522143721,-0.22451599674738926,0.19318985041683967,0.07814947460366825,0.3447191668320242,0.169622078055813,0.169622078055813,0.2151311922193433,0.3315031700821427
476,1,0.13621883826257866,-0.010437906976098046,-0.1771014894575853,-0.27274028712027054,0.14665674523867672,0.09563879766268524,0.04672192531570607,0.14016064257028113,0.14016064257028113,0.19810494766145567,0.33140886278433823
467,1,0.20942359652623352,-0.013771237422988638,-0.0399164196250747,-0.06456766987445255,0.22319483394922215,0.024651250249377844,-0.07780011314112983,0.12190299660179178,0.12190299660179178,0.2480236327834007,0.3270190748583245
35,6,-0.03151782773156804,0.0020980272960546826,-0.1726907490294817,-0.1553755152220539,-0.033615855027622724,-0.017315233807427804,-0.001406184958473805,0.19697250540624034,0.19697250540624034,0.10943841868431804,0.32613656695149446
6,1,0.0812124981944278,-0.007822124582502069,0.1207014751956478,0.07088762280506565,0.08903462277692988,0.049813852390582156,-0.02220339183577491,0.13278756049840387,0.13278756049840387,0.20788836173066771,0.32417705451022044
213,1,0.16473178870176017,-0.014253183627197038,-0.0618398542400057,-0.0982240788251814,0.17898497232895721,0.0363842245851757,0.3049344536662355,0.1318195860364535,0.1318195860364535,0.21033566314765478,0.3238394778294653
