feature,n_models,mean_tp_mean_positive_shap,max_tp_mean_positive_shap,mean_fp_mean_positive_shap,mean_tp_fp_shap_gap,mean_tp_positive_push_rate,mean_fp_positive_push_rate,mean_tp_vs_tn_smd,mean_tp_vs_fp_smd,avg_tp_trigger_rate,avg_fp_trigger_rate,avg_tn_trigger_rate,fp_evidence_coverage,dominant_monitor_direction,appeared_in_topn_models,avg_rank,best_rank,worst_rank,avg_mean_positive_shap,max_mean_positive_shap,appeared_categories,appeared_feature_sets,tp_fp_ratio,score_tp_shap,score_gap,score_ratio,score_fp_penalty,final_candidate_score,tp_signal_available,gap_positive,ratio_pass,tp_fp_priority_candidate,recommendation
132,8,0.251021260257952,0.4608962641312496,0.21778635249179593,0.03323490776615611,0.4418903281673643,0.36491866438356163,0.1939988542004187,0.06350534679783719,0.0,0.006158329180353081,0.01094236420488929,1.0,high,6.0,6.333333333333333,4.0,10.0,0.3331806384204989,0.4608962641312496,supervised,"Base,RFERF,RFEXGB",1.1526032618017608,0.4283659111699169,0.43729489531228005,0.06574110686856911,0.7076038299252079,0.3864434374278854,1,1,0,0,review
60,1,0.235036340330588,0.235036340330588,0.21635928305310767,0.01867705727748034,0.39285714285714285,0.375,-0.2480674125679501,-0.0648206869082665,0.03571428571428571,0.03783783783783784,0.01015228426395939,1.0,low,,,,,,,,,1.0863242705093261,0.4010877643602523,0.4041504743338069,0.06305941212809581,0.7095197885402866,0.3652441093238908,1,1,0,0,review
221,1,0.2186048135156587,0.2186048135156587,0.19034073362989373,0.02826407988576496,0.5,0.4625,-0.0592033689620368,0.034991560038260545,0.0,0.010810810810810811,0.012182741116751269,1.0,low,,,,,,,,,1.1484920192685755,0.3730474862230257,0.4259776193169416,0.06557718072841279,0.7444518405959177,0.3645729004895671,1,1,0,0,review
447,1,0.19349191428624807,0.19349191428624807,0.15455457663077846,0.03893733765546961,0.6428571428571429,0.4625,-0.3449633075281349,-0.31618741070602346,0.0,0.021621621621621623,0.01116751269035533,1.0,low,,,,,,,,,1.251932608559943,0.33019251071429684,0.4502778378832768,0.06960927296905127,0.7924977127477584,0.36033198151928786,1,1,0,0,review
80,1,0.1707574386531841,0.1707574386531841,0.12006126435382794,0.05069617429935616,0.5357142857142857,0.4875,-0.46320473324812,-0.22349980917713838,0.07142857142857142,0.021621621621621623,0.01116751269035533,1.0,low,,,,,,,,,1.422252543917507,0.29139629735961864,0.4770496358382868,0.07586108543286178,0.8388078340550799,0.3587264101874138,1,1,0,0,review
53,1,0.2187901675353118,0.2187901675353118,0.20484471172136726,0.013945455813944546,0.5,0.425,0.009851330668382745,0.011737464664271821,0.0,0.0,0.01015228426395939,1.0,low,,,,,,,,,1.0680781832089146,0.37336379147715487,0.39337785436963146,0.06230619875650961,0.7249790517995891,0.35231801783301225,1,1,0,0,review
366,1,0.26464134585349725,0.26464134585349725,0.2843591829176072,-0.019717837064109955,0.5357142857142857,0.525,0.1372312102709829,-0.010665284078642277,0.03571428571428571,0.03783783783783784,0.01015228426395939,1.0,high,,,,,,,,,0.9306586941845898,0.4516084858042428,0.3167353341335711,0.05641029204555,0.6182243053368659,0.348768483504565,1,0,0,0,false_positive_risk
545,5,0.16631477998517413,0.4570392068444738,0.1255891065714316,0.04072567341374251,0.9627329192546584,0.8418835616438356,-0.4026488398589427,-0.27536671926796075,,,,1.0,flat,1.0,7.0,7.0,7.0,0.4570392068444738,0.4570392068444738,supervised,Base,1.3242771170649175,0.2838149334289962,0.45434941103682447,0.07232064979976928,0.8313862492096018,0.3474335515635599,1,1,0,0,review
55,8,0.17452221494041836,0.42477090430774134,0.143788068525605,0.030734146414813365,0.5649361689616837,0.4190068493150685,0.003092675826787695,-0.07743244164943708,0.005555555555555556,0.012367556272949701,0.013988248343578128,1.0,low,4.0,7.5,6.0,10.0,0.3309032165553797,0.42477090430774134,supervised,"RFERF,RFEXGB",1.2137461524447726,0.2978208600559208,0.43160131527035867,0.06814275797053859,0.8069526393260917,0.3429325541301928,1,1,0,0,review
129,10,0.1874430635513279,0.41267470516548105,0.1666372296062581,0.020805833945069775,0.8240442868417116,0.5782020547945206,0.6432631381869592,0.16327919860305173,0.025116612535145917,0.0063081181538431575,0.01180807893290211,1.0,high,6.0,7.0,5.0,9.0,0.23425585957622216,0.41267470516548105,supervised,"RFERF,RFEXGB",1.1248570562186568,0.31987019198347605,0.4089971424662087,0.06462866391807726,0.7762757529511448,0.341200527611983,1,1,0,0,review
441,1,0.1478428944393413,0.1478428944393413,0.107048236675782,0.04079465776355928,0.5357142857142857,0.5625,0.42787492982389225,0.15996525687914548,0.17857142857142858,0.05405405405405406,0.013197969543147208,1.0,high,,,,,,,,,1.3810866860620454,0.25229279831288726,0.45450647037281866,0.07439128425673618,0.8562788987503813,0.3377752071633858,1,1,0,0,review
