n_features,mean_score,std_score
62,0.21453899789747516,0.047103852538991874
63,0.2261078787008371,0.06434627058512458
64,0.23570033659378598,0.06990969338119782
65,0.23325787286386576,0.06727887891508057
66,0.22520318773194664,0.0680609165244298
67,0.22983809125174348,0.06314906025057677
68,0.232654306198334,0.07462253403409083
69,0.22610712786747983,0.05749763740057176
70,0.23445138751003075,0.06876432545694695
71,0.22720483449643117,0.06303008589053788
72,0.2439285926780701,0.08232183343161768
73,0.22042922671581405,0.06892641464249567
74,0.22789248796528994,0.06084643624704745
75,0.23012033330954113,0.06855088007059583
76,0.23641953156481071,0.0746953419835274
77,0.22861319179000686,0.060155058273809195
78,0.2336176486265992,0.058847423904493525
79,0.23250948145429556,0.06562464186092279
80,0.23258888094715163,0.06495602149750843
81,0.2327386786966132,0.059968533344999686
82,0.2251898644072446,0.047684934093552324
83,0.22534849816515656,0.0615081773050931
84,0.21888204352739118,0.059977866717541885
85,0.2224891940875667,0.0608349328580928
86,0.211692806460306,0.05865495433737189
87,0.21304195051574357,0.05673358648756411
88,0.233573862326097,0.06700196398712037
89,0.22472460927476404,0.06415449554255401
90,0.23057053744107595,0.07661904741952126
91,0.2263005969968408,0.06679036318416086
92,0.22514128997179877,0.06144723774431885
93,0.23436772940582418,0.057259435016981046
94,0.23329204371362672,0.06323255240074761
95,0.22337877774163334,0.0549653284963454
96,0.22226520769889654,0.0620118325165464
97,0.22643934186415646,0.061883289580152046
98,0.2413450267640381,0.06501806047868508
99,0.2181735972359605,0.05473946343518356
100,0.22660472066655818,0.06794909064549515
101,0.22522388567273283,0.06466487028551679
102,0.2332326023309604,0.07217589773529925
103,0.23658048382625596,0.0727335966094416
104,0.22891457937097406,0.061525094694236296
105,0.23142750161709272,0.0693320701351913
106,0.22215781214138652,0.06274094479154226
107,0.24382004120609246,0.07878185489675142
108,0.2445588835684708,0.059602089829592635
109,0.23069097006107958,0.05963144121054303
110,0.2279620801792932,0.06762298339802258
111,0.23182048119365523,0.06343769480057879
112,0.25530895585041513,0.0790591418205575
113,0.2402557501954651,0.07188559119766495
114,0.24723070487722754,0.07752934321505975
115,0.2388474175800229,0.0766276276796301
116,0.23414804439521775,0.06845268747445454
117,0.23622180155295677,0.07104790583014803
118,0.22673227814293692,0.0559065263743164
119,0.24875601193792515,0.06918941309726258
120,0.250338677608814,0.08169395778333202
