n_features,mean_score,std_score
70,0.26568196995246673,0.08013245754774542
71,0.27100543575443137,0.08229955408461308
72,0.2770729241295609,0.08473768001641498
73,0.25484473802441404,0.07834708445369418
74,0.2508866840462661,0.06593741590814158
75,0.27441298778870216,0.08087253727674969
76,0.2427958625096176,0.06484916374119092
77,0.27001937923737657,0.07038597902927797
78,0.25401716422267295,0.08494423753546307
79,0.25151608462002867,0.07195632345488566
80,0.2611853745810374,0.07572175009123026
81,0.2560980369097642,0.08245879185782383
82,0.27036025295948973,0.08043681651350663
83,0.24829993390795568,0.07823378056814297
84,0.24286241376061338,0.08470566505173363
85,0.26604604662925363,0.08131425467383802
86,0.26112462164603245,0.0866649060238695
87,0.2609325136229605,0.08221699668930071
88,0.24936008241248767,0.0759972188562732
89,0.25798405284651826,0.09156886605400015
90,0.2533559223630597,0.07383825098677883
91,0.25886673466934446,0.09148276586398316
92,0.25307706537943087,0.08905000947583762
93,0.2559536162033501,0.08862151238571099
94,0.25662460653880526,0.07174253998734176
95,0.24884002930084054,0.07102984114973378
96,0.26201222893940235,0.08091860098028754
97,0.2583824919247901,0.08021163946681668
98,0.23981270445299607,0.06088572029000219
99,0.27907712977098004,0.09614361229198268
100,0.25469091869630933,0.08011770248489554
101,0.24787836257729606,0.06465465078374913
102,0.24447433359722354,0.07281329655313934
103,0.24211938699982558,0.06219373216489746
104,0.24575138462803325,0.09189670772253002
105,0.24093253801024997,0.08195653682022075
106,0.24189799865966172,0.06562776962412958
107,0.2792411191136456,0.08904148224161265
108,0.24552527347918277,0.06035001054575497
109,0.24543770601421722,0.07689255249701414
110,0.24802945029232273,0.08390249537522926
111,0.25546842109787293,0.08792554221955748
112,0.2569327581671841,0.09333512812913691
113,0.23644381994655483,0.055721818015599424
114,0.25631026956768943,0.0896053508333114
115,0.2538804771426503,0.08840185639916633
116,0.2488350422755336,0.07916176813196388
117,0.23616947273584704,0.06150714632139956
118,0.23197288899513763,0.0595500193326624
119,0.23185301889628435,0.07357240274220794
120,0.2649811907775072,0.06644504744843609
121,0.25438068142783016,0.07988535916022318
122,0.2494063846017954,0.08022251365164054
123,0.2499553596851042,0.0765412630251761
124,0.23849696944434706,0.06910024411690602
125,0.25599838827875077,0.09352775070865879
126,0.24147545305389873,0.06777811425094768
127,0.2467598188210483,0.07123163283340263
128,0.263717259498116,0.07588076724398068
